Ev No,Fiyat,Adres,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu
Ev-71,"1,550,000TL",Elazığ - Elazığ Merkez - Sanayi Mahallesi,125 m²,3+1,3.Kat,Kombi Doğalgaz,145 m²,4,5,Mülk Sahibi Oturuyor
Ev-72,"1,985,000TL",Elazığ - Elazığ Merkez - Kırklar Mahallesi,140 m²,3+1,2.Kat,Kombi Doğalgaz,160 m²,11-15,4,Boş
Ev-73,"1,320,000TL",Elazığ - Elazığ Merkez - Kültür Mahallesi,155 m²,3+1,3.Kat,Merkezi (Pay Ölçer),175 m²,21 Ve Üzeri,4,Boş
Ev-74,"1,550,000TL",Elazığ - Elazığ Merkez - Mustafa Paşa Mahallesi,150 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,165 m²,11-15,5,Boş
Ev-75,"2,550,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,165 m²,3+1,2.Kat,Kombi Doğalgaz,175 m²,5-10,4,Kiracı Oturuyor
Ev-76,"2,150,000TL",Elazığ - Elazığ Merkez - Mustafa Paşa Mahallesi,160 m²,3+1,2.Kat,Kombi Doğalgaz,175 m²,5-10,5,Mülk Sahibi Oturuyor
Ev-77,"2,980,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,200 m²,4+1,4.Kat,Kombi Doğalgaz,220 m²,11-15,5,Boş
Ev-78,"2,500,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,170 m²,3+1,Düz Giriş (Zemin),Kombi Doğalgaz,195 m²,5-10,6,Boş
Ev-79,"2,100,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,145 m²,3+1,1.Kat,Merkezi (Pay Ölçer),155 m²,11-15,8,Boş
Ev-80,"2,050,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,135 m²,3+1,1.Kat,Kombi Doğalgaz,155 m²,5-10,10,Mülk Sahibi Oturuyor
Ev-81,"2,400,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,100 m²,2+1,8.Kat,Kombi Doğalgaz,120 m²,0 (Yeni),8,Boş
Ev-82,"3,900,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,100 m²,2+1,2.Kat,Kombi Doğalgaz,120 m²,5-10,3,Boş
Ev-83,"1,800,000TL",Elazığ - Elazığ Merkez - Kültür Mahallesi,100 m²,2+1,2.Kat,Merkezi (Pay Ölçer),120 m²,4,10,Mülk Sahibi Oturuyor
Ev-84,"2,100,000TL",Elazığ - Elazığ Merkez - İcadiye Mahallesi,140 m²,3+1,3.Kat,Kombi Doğalgaz,160 m²,5-10,7,Boş
Ev-85,"1,250,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,125 m²,2+1,4.Kat,Kombi Doğalgaz,135 m²,16-20,4,Boş
Ev-86,"4,660,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,225 m²,5+1,8.Kat,Kombi Doğalgaz,245 m²,0 (Yeni),9,Boş
Ev-87,"2,400,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,95 m²,2+1,4.Kat,Merkezi (Pay Ölçer),105 m²,3,4,Boş
Ev-88,"4,350,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,205 m²,4+1,3.Kat,Merkezi (Pay Ölçer),235 m²,0 (Yeni),7,Boş
Ev-89,"4,650,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,205 m²,4+1,4.Kat,Kombi Doğalgaz,220 m²,0 (Yeni),6,Boş
Ev-90,"1,375,000TL",Elazığ - Elazığ Merkez - Rüstem Paşa Mahallesi,100 m²,3+1,6.Kat,Kombi Doğalgaz,120 m²,21 Ve Üzeri,7,Boş
Ev-91,"2,750,000TLarrow_downward%7",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,210 m²,4+1,3.Kat,Merkezi Doğalgaz,230 m²,16-20,8,Boş
Ev-92,"920,000TL",Elazığ - Elazığ Merkez - Rızaiye Mahallesi,135 m²,3+1,2.Kat,Kombi Doğalgaz,140 m²,21 Ve Üzeri,5,Boş
Ev-93,"1,475,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,48 m²,1+1,Yüksek Giriş,Kombi Doğalgaz,56 m²,2,4,Boş
Ev-94,"3,175,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,130 m²,3+1,5.Kat,Kombi Doğalgaz,148 m²,0 (Yeni),7,Boş
Ev-95,"3,000,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,145 m²,3+1,3.Kat,Kombi Doğalgaz,160 m²,0 (Yeni),10,Boş
Ev-96,"1,695,000TL",Elazığ - Elazığ Merkez - Kırklar Mahallesi,155 m²,3+1,2.Kat,Kombi Doğalgaz,175 m²,21 Ve Üzeri,5,Boş
Ev-97,"3,250,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,145 m²,3+1,2.Kat,Kombi Doğalgaz,165 m²,0 (Yeni),5,Boş
Ev-98,"3,750,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,190 m²,4+1,2.Kat,Merkezi Doğalgaz,233 m²,5-10,5,Boş
Ev-99,"1,600,000TL",Elazığ - Elazığ Merkez - Kültür Mahallesi,110 m²,3+1,3.Kat,Doğalgaz Sobalı,120 m²,11-15,5,Boş
Ev-100,"2,200,000TLarrow_downward%6",Elazığ - Elazığ Merkez - Yeni Mahallesi,100 m²,3+1,1.Kat,Doğalgaz Sobalı,118 m²,0 (Yeni),7,Boş
Ev-101,"1,070,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,90 m²,2+1,3.Kat,Kombi Doğalgaz,100 m²,21 Ve Üzeri,4,Mülk Sahibi Oturuyor
Ev-102,"1,650,000TL",Elazığ - Elazığ Merkez - Mustafa Paşa Mahallesi,90 m²,2+1,2.Kat,Merkezi Doğalgaz,100 m²,3,5,Kiracı Oturuyor
Ev-103,"2,485,000TL",Elazığ - Elazığ Merkez - Yıldız Bağları Mahallesi,120 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,140 m²,0 (Yeni),5,Boş
Ev-104,"2,700,000TL",Elazığ - Elazığ Merkez - Kırklar Mahallesi,150 m²,3+1,3.Kat,Kombi Doğalgaz,160 m²,5-10,5,Mülk Sahibi Oturuyor
Ev-105,"1,300,000TL",Elazığ - Elazığ Merkez - Sarayatik Mahallesi,145 m²,3+1,4.Kat,Kombi Doğalgaz,164 m²,21 Ve Üzeri,5,Mülk Sahibi Oturuyor
Ev-106,"1,650,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,120 m²,3+1,1.Kat,Kombi Doğalgaz,140 m²,5-10,5,Kiracı Oturuyor
Ev-107,"3,050,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,170 m²,3+1,1.Kat,Kombi Doğalgaz,190 m²,0 (Yeni),5,Boş
Ev-108,"2,750,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,125 m²,3+1,4.Kat,Kombi Doğalgaz,135 m²,0 (Yeni),7,Boş
Ev-109,"2,100,000TL",Elazığ - Elazığ Merkez - Yıldız Bağları Mahallesi,120 m²,2+1,3.Kat,Kombi Doğalgaz,135 m²,4,7,Boş
Ev-110,"1,685,000TL",Elazığ - Elazığ Merkez - Kırklar Mahallesi,150 m²,3+1,4.Kat,Kombi Doğalgaz,160 m²,21 Ve Üzeri,4,Kiracı Oturuyor
Ev-111,"1,900,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,165 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,175 m²,16-20,4,Kiracı Oturuyor
Ev-112,"3,200,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,120 m²,3+1,3.Kat,Kombi Doğalgaz,140 m²,0 (Yeni),8,Boş
Ev-113,"3,800,000TLarrow_downward%4",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,150 m²,3+1,5.Kat,Kombi Doğalgaz,165 m²,0 (Yeni),8,Boş
Ev-114,"3,600,000TL",Elazığ - Elazığ Merkez - Fevzi Çakmak Mahallesi,185 m²,3+1,3.Kat,Kombi Doğalgaz,220 m²,0 (Yeni),4,Boş
Ev-115,"3,250,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,180 m²,4+1,5.Kat,Merkezi (Pay Ölçer),220 m²,11-15,9,Mülk Sahibi Oturuyor
Ev-116,"3,950,000TL",Elazığ - Elazığ Merkez - Hilalkent Mahallesi,285 m²,5+2,5.Kat,Kombi Doğalgaz,320 m²,11-15,5,Mülk Sahibi Oturuyor
