Ev No,Fiyat,Adres,Net Metrekare,Oda Sayısı,Bulunduğu Kat,Isıtma Tipi,Brüt Metrekare,Binanın Yaşı,Binanın Kat Sayısı,Kullanım Durumu
Ev-177,"4,500,000TLarrow_downward%18",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,190 m²,4+1,2.Kat,Merkezi (Pay Ölçer),225 m²,0 (Yeni),14,Boş
Ev-178,"1,795,000TL",Elazığ - Elazığ Merkez - İzzet Paşa Mahallesi,150 m²,3+1,2.Kat,Kombi Doğalgaz,185 m²,16-20,4,Mülk Sahibi Oturuyor
Ev-179,"2,250,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,90 m²,2+1,3.Kat,Kombi Doğalgaz,110 m²,0 (Yeni),4,Boş
Ev-180,"2,250,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,170 m²,3+1,4.Kat,Kombi Doğalgaz,180 m²,11-15,4,Mülk Sahibi Oturuyor
Ev-181,"2,650,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,145 m²,3+1,1.Kat,Kombi Doğalgaz,155 m²,3,6,Boş
Ev-182,"3,700,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,190 m²,4+1,7.Kat,Merkezi (Pay Ölçer),210 m²,5-10,7,Mülk Sahibi Oturuyor
Ev-183,"2,350,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,165 m²,3+1,1.Kat,Kombi Doğalgaz,175 m²,5-10,5,Mülk Sahibi Oturuyor
Ev-184,"1,750,000TL",Elazığ - Elazığ Merkez - Rızaiye Mahallesi,100 m²,3+1,1.Kat,Kombi Doğalgaz,110 m²,5-10,4,Boş
Ev-185,"2,680,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,190 m²,4+1,2.Kat,Kombi Doğalgaz,200 m²,11-15,5,Kiracı Oturuyor
Ev-186,"1,770,000TL",Elazığ - Elazığ Merkez - Yemişlik Köyü (Yadigar Mahallesi),80 m²,2+1,3.Kat,Merkezi (Pay Ölçer),100 m²,4,4,Mülk Sahibi Oturuyor
Ev-187,"2,750,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,190 m²,4+1,1.Kat,Kombi Doğalgaz,210 m²,4,4,Kiracı Oturuyor
Ev-188,"2,625,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,190 m²,4+1,1.Kat,Kombi Doğalgaz,220 m²,11-15,6,Boş
Ev-189,"1,600,000TL",Elazığ - Elazığ Merkez - Kültür Mahallesi,150 m²,3+1,5.Kat,Kombi Doğalgaz,165 m²,16-20,5,Mülk Sahibi Oturuyor
Ev-190,"2,850,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,145 m²,3+1,3.Kat,Kombi Doğalgaz,155 m²,2,7,Mülk Sahibi Oturuyor
Ev-191,"1,300,000TL",Elazığ - Elazığ Merkez - İzzet Paşa Mahallesi,125 m²,3+1,Düz Giriş (Zemin),Kombi Doğalgaz,145 m²,11-15,5,Boş
Ev-192,"3,400,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,130 m²,3+1,4.Kat,Kombi Doğalgaz,150 m²,2,4,Boş
Ev-193,"1,650,000TL",Elazığ - Elazığ Merkez - Mustafa Paşa Mahallesi,140 m²,3+1,5.Kat,Kombi Doğalgaz,155 m²,11-15,5,Kiracı Oturuyor
Ev-194,"2,800,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,100 m²,2+1,3.Kat,Kombi Doğalgaz,115 m²,0 (Yeni),10,Boş
Ev-195,"1,570,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,110 m²,2+1,4.Kat,Kombi Doğalgaz,123 m²,21 Ve Üzeri,4,Mülk Sahibi Oturuyor
Ev-196,"965,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,110 m²,2+1,Bodrum Kat,Kombi Doğalgaz,120 m²,11-15,5,Kiracı Oturuyor
Ev-197,"2,550,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,130 m²,3+1,4.Kat,Kombi Doğalgaz,150 m²,5-10,4,Mülk Sahibi Oturuyor
Ev-198,"4,300,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,210 m²,4+1,3.Kat,Kombi Doğalgaz,230 m²,4,7,Boş
Ev-199,"1,615,000TL",Elazığ - Elazığ Merkez - Güneykent Mahallesi,100 m²,2+1,Yüksek Giriş,Merkezi Doğalgaz,115 m²,2,5,Boş
Ev-200,"2,700,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,100 m²,2+1,3.Kat,Kombi Doğalgaz,110 m²,0 (Yeni),5,Kiracı Oturuyor
Ev-201,"1,275,000TL",Elazığ - Elazığ Merkez - Olgunlar Mahallesi,140 m²,3+1,3.Kat,Kombi Doğalgaz,150 m²,21 Ve Üzeri,5,Boş
Ev-202,"2,980,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,170 m²,3+1,4.Kat,Merkezi Doğalgaz,210 m²,3,8,Boş
Ev-203,"2,650,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,105 m²,2+1,2.Kat,Kombi Doğalgaz,120 m²,0 (Yeni),4,Boş
Ev-204,"1,685,000TL",Elazığ - Elazığ Merkez - Güneykent Mahallesi,95 m²,2+1,4.Kat,Merkezi Doğalgaz,110 m²,0 (Yeni),4,Kiracı Oturuyor
Ev-205,"3,795,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,160 m²,3+1,11.Kat,Merkezi (Pay Ölçer),185 m²,3,18,Boş
Ev-206,"1,275,000TL",Elazığ - Elazığ Merkez - Kültür Mahallesi,160 m²,3+1,5.Kat,Kombi Doğalgaz,180 m²,21 Ve Üzeri,5,Boş
Ev-207,"1,150,000TL",Elazığ - Elazığ Merkez - Güneykent Mahallesi,150 m²,3+1,Bodrum Kat,Kombi Doğalgaz,165 m²,5-10,4,Mülk Sahibi Oturuyor
Ev-208,"3,100,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,150 m²,3+1,1.Kat,Kombi Doğalgaz,165 m²,1,6,Kiracı Oturuyor
Ev-209,"2,500,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,70 m²,2+1,4.Kat,Kombi Doğalgaz,90 m²,1,4,Mülk Sahibi Oturuyor
Ev-210,"3,000,000TL",Elazığ - Elazığ Merkez - Kırklar Mahallesi,135 m²,3+1,4.Kat,Merkezi (Pay Ölçer),145 m²,0 (Yeni),6,Boş
Ev-211,"3,700,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,185 m²,4+1,5.Kat,Merkezi (Pay Ölçer),195 m²,0 (Yeni),8,Boş
Ev-212,"3,200,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,190 m²,4+1,2.Kat,Kombi Doğalgaz,200 m²,0 (Yeni),8,Boş
Ev-213,"850,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,150 m²,3+1,4.Kat,Kombi Doğalgaz,160 m²,21 Ve Üzeri,Bilinmiyor,Boş
Ev-214,"2,900,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,145 m²,3+1,2.Kat,Kombi Doğalgaz,160 m²,5-10,Bilinmiyor,Boş
Ev-215,"1,750,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,155 m²,3+1,1.Kat,Kombi Doğalgaz,175 m²,16-20,4,Boş
Ev-216,"3,250,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,175 m²,3.5+1,4.Kat,Kombi Doğalgaz,190 m²,4,4,Boş
Ev-217,"3,500,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,160 m²,3+1,3.Kat,Kombi Doğalgaz,178 m²,0 (Yeni),8,Boş
Ev-218,"5,900,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,200 m²,4+1,3.Kat,Merkezi (Pay Ölçer),250 m²,0 (Yeni),8,Boş
Ev-219,"3,499,999TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,210 m²,4+1,3.Kat,Merkezi Doğalgaz,225 m²,5-10,9,Mülk Sahibi Oturuyor
Ev-220,"1,660,000TL",Elazığ - Elazığ Merkez - Güneykent Mahallesi,45 m²,1+1,2.Kat,Kombi Doğalgaz,55 m²,0 (Yeni),4,Boş
Ev-221,"3,300,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,130 m²,3+1,1.Kat,Kombi Doğalgaz,150 m²,0 (Yeni),5,Boş
Ev-222,"2,850,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,135 m²,3+1,5.Kat,Kombi Doğalgaz,152 m²,0 (Yeni),7,Boş
Ev-223,"2,000,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,160 m²,3+1,4.Kat,Kombi Doğalgaz,175 m²,16-20,5,Boş
Ev-224,"3,300,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,140 m²,3+1,3.Kat,Kombi Doğalgaz,160 m²,0 (Yeni),5,Boş
Ev-225,"2,700,000TL",Elazığ - Elazığ Merkez - Ulu Kent Mahallesi,180 m²,3+1,8.Kat,Kombi Doğalgaz,200 m²,3,8,Mülk Sahibi Oturuyor
Ev-226,"1,625,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,180 m²,4+1,Düz Giriş (Zemin),Kombi Doğalgaz,210 m²,5-10,8,Kiracı Oturuyor
Ev-227,"3,050,000TL",Elazığ - Elazığ Merkez - Ulu Kent Mahallesi,157 m²,3+1,2.Kat,Kombi Doğalgaz,170 m²,0 (Yeni),5,Boş
Ev-228,"2,475,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,115 m²,3+1,5.Kat,Merkezi Doğalgaz,130 m²,3,5,Mülk Sahibi Oturuyor
Ev-229,"2,800,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,140 m²,3+1,7.Kat,Kombi Doğalgaz,160 m²,0 (Yeni),7,Boş
Ev-230,"3,900,000TL",Elazığ - Elazığ Merkez - Olgunlar Mahallesi,220 m²,4+1,10.Kat,Merkezi (Pay Ölçer),235 m²,0 (Yeni),18,Boş
Ev-231,"3,700,000TL",Elazığ - Elazığ Merkez - Olgunlar Mahallesi,150 m²,3+1,8.Kat,Merkezi (Pay Ölçer),160 m²,0 (Yeni),18,Boş
Ev-232,"3,500,000TL",Elazığ - Elazığ Merkez - Olgunlar Mahallesi,180 m²,3+1,5.Kat,Merkezi (Pay Ölçer),200 m²,0 (Yeni),18,Boş
Ev-233,"1,485,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,50 m²,1+1,4.Kat,Kombi Doğalgaz,60 m²,0 (Yeni),4,Boş
Ev-234,"1,075,000TL",Elazığ - Elazığ Merkez - İzzet Paşa Mahallesi,140 m²,3+1,3.Kat,Kombi Doğalgaz,170 m²,21 Ve Üzeri,4,Boş
Ev-235,"2,390,000TLarrow_downward%4",Elazığ - Elazığ Merkez - Fevzi Çakmak Mahallesi,130 m²,2+1,1.Kat,Kombi Doğalgaz,145 m²,0 (Yeni),7,Boş
Ev-236,"2,450,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,150 m²,3+1,2.Kat,Kombi Doğalgaz,170 m²,5-10,7,Boş
Ev-237,"2,550,000TL",Elazığ - Elazığ Merkez - Sanayi Mahallesi,155 m²,3+1,6.Kat,Kombi Doğalgaz,175 m²,4,12,Mülk Sahibi Oturuyor
Ev-238,"1,775,000TL",Elazığ - Elazığ Merkez - Mustafa Paşa Mahallesi,135 m²,3+1,Düz Giriş (Zemin),Merkezi (Pay Ölçer),145 m²,1,5,Boş
Ev-239,"2,000,000TL",Elazığ - Elazığ Merkez - Mustafa Paşa Mahallesi,190 m²,3+1,2.Kat,Kombi Doğalgaz,200 m²,11-15,5,Boş
Ev-240,"2,450,000TL",Elazığ - Elazığ Merkez - Olgunlar Mahallesi,140 m²,3+1,7.Kat,Kombi Doğalgaz,155 m²,5-10,8,Boş
Ev-241,"2,795,000TL",Elazığ - Elazığ Merkez - Olgunlar Mahallesi,145 m²,3+1,5.Kat,Kombi Doğalgaz,160 m²,0 (Yeni),5,Boş
Ev-242,"2,400,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,160 m²,4+1,4.Kat,Kombi Doğalgaz,170 m²,5-10,Bilinmiyor,Boş
Ev-243,"2,700,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,80 m²,2+1,2.Kat,Kombi Doğalgaz,95 m²,0 (Yeni),4,Boş
Ev-244,"3,300,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,150 m²,3+1,1.Kat,Kombi Doğalgaz,165 m²,0 (Yeni),8,Boş
Ev-245,"3,500,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,140 m²,3+1,7.Kat,Kombi Doğalgaz,155 m²,0 (Yeni),11,Boş
Ev-246,"2,350,000TLarrow_downward%2",Elazığ - Elazığ Merkez - Üniversite Mahallesi,115 m²,2+1,8.Kat,Kombi Doğalgaz,135 m²,1,8,Boş
Ev-247,"2,749,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,100 m²,2+1,2.Kat,Kombi Doğalgaz,115 m²,0 (Yeni),4,Boş
Ev-248,"1,299,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,53 m²,1+1,4.Kat,Kombi Doğalgaz,63 m²,5-10,5,Boş
Ev-249,"1,550,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,145 m²,3+1,6.Kat,Kombi Doğalgaz,155 m²,21 Ve Üzeri,8,Boş
Ev-250,"2,750,000TL",Elazığ - Elazığ Merkez - Kırklar Mahallesi,135 m²,3+1,8.Kat,Kombi Doğalgaz,148 m²,4,8,Boş
Ev-251,"2,950,000TL",Elazığ - Elazığ Merkez - Mustafa Paşa Mahallesi,160 m²,3+1,3.Kat,Kombi Doğalgaz,180 m²,5-10,10,Mülk Sahibi Oturuyor
Ev-252,"995,000TL",Elazığ - Elazığ Merkez - Rızaiye Mahallesi,120 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,140 m²,21 Ve Üzeri,Bilinmiyor,Boş
Ev-253,"1,700,000TL",Elazığ - Elazığ Merkez - Gedikyolu Köyü,145 m²,3+1,4.Kat,Kombi Doğalgaz,165 m²,16-20,5,Boş
Ev-254,"2,650,000TLarrow_downward%4",Elazığ - Elazığ Merkez - Yeni Mahallesi,120 m²,3+1,3.Kat,Kombi Doğalgaz,135 m²,0 (Yeni),9,Boş
Ev-255,"2,820,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,120 m²,2+1,2.Kat,Kombi Doğalgaz,135 m²,0 (Yeni),4,Boş
Ev-256,"1,050,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,145 m²,3+1,5.Kat,Kombi Doğalgaz,165 m²,21 Ve Üzeri,5,Boş
Ev-257,"4,450,000TLarrow_downward%2",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,200 m²,4+1,2.Kat,Merkezi Doğalgaz,220 m²,5-10,9,Boş
Ev-258,"2,100,000TLarrow_downward%5",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,145 m²,3+1,2.Kat,Kombi Doğalgaz,160 m²,11-15,5,Boş
Ev-259,"2,350,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,100 m²,2+1,7.Kat,Kombi Doğalgaz,120 m²,1,7,Boş
Ev-260,"1,700,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,150 m²,3+1,7.Kat,Kombi Doğalgaz,170 m²,21 Ve Üzeri,7,Kiracı Oturuyor
Ev-261,"2,800,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,190 m²,4+1,1.Kat,Kombi Doğalgaz,200 m²,3,5,Mülk Sahibi Oturuyor
Ev-262,"1,750,000TL",Elazığ - Elazığ Merkez - Olgunlar Mahallesi,150 m²,3+1,4.Kat,Kombi Doğalgaz,160 m²,11-15,Bilinmiyor,Boş
Ev-263,"1,650,000TL",Elazığ - Elazığ Merkez - Kültür Mahallesi,120 m²,3+1,2.Kat,Kombi Doğalgaz,135 m²,21 Ve Üzeri,5,Mülk Sahibi Oturuyor
Ev-264,"1,750,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,110 m²,3+1,3.Kat,Kombi Doğalgaz,130 m²,16-20,4,Mülk Sahibi Oturuyor
Ev-265,"1,050,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,105 m²,3+1,Kot 1 (-1).Kat,Kombi Doğalgaz,120 m²,11-15,5,Kiracı Oturuyor
Ev-266,"1,750,000TL",Elazığ - Elazığ Merkez - Üniversite Mahallesi,65 m²,1+1,2.Kat,Kombi Doğalgaz,80 m²,1,8,Mülk Sahibi Oturuyor
Ev-267,"3,550,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,140 m²,3+1,Bilinmiyor,Kombi Doğalgaz,165 m²,0 (Yeni),5,Boş
Ev-268,"2,300,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,150 m²,3+1,2.Kat,Kombi Doğalgaz,165 m²,5-10,5,Boş
Ev-269,"1,400,000TL",Elazığ - Elazığ Merkez - İcadiye Mahallesi,170 m²,3+1,1.Kat,Kombi Doğalgaz,185 m²,21 Ve Üzeri,5,Mülk Sahibi Oturuyor
Ev-270,"1,750,000TL",Elazığ - Elazığ Merkez - Güneykent Mahallesi,120 m²,3+1,3.Kat,Merkezi Doğalgaz,130 m²,0 (Yeni),5,Boş
Ev-271,"1,575,000TLarrow_downward%5",Elazığ - Elazığ Merkez - Yeni Mahallesi,120 m²,3+1,4.Kat,Kombi Doğalgaz,135 m²,5-10,4,Boş
Ev-272,"1,725,000TL",Elazığ - Elazığ Merkez - Rızaiye Mahallesi,135 m²,3+1,Düz Giriş (Zemin),Kombi Doğalgaz,150 m²,5-10,Bilinmiyor,Kiracı Oturuyor
Ev-273,"2,550,000TLarrow_downward%2",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,95 m²,2+1,5.Kat,Kombi Doğalgaz,110 m²,0 (Yeni),Bilinmiyor,Boş
Ev-274,"2,775,000TL",Elazığ - Elazığ Merkez - Ulu Kent Mahallesi,155 m²,3+1,2.Kat,Kombi Doğalgaz,170 m²,2,6,Kiracı Oturuyor
Ev-275,"5,000,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,205 m²,3+1,2.Kat,Kombi Doğalgaz,225 m²,0 (Yeni),9,Boş
Ev-276,"1,050,000TL",Elazığ - Elazığ Merkez - Rızaiye Mahallesi,100 m²,3+1,5.Kat,Kombi Doğalgaz,125 m²,21 Ve Üzeri,5,Kiracı Oturuyor
Ev-277,"980,000TL",Elazığ - Elazığ Merkez - Mustafa Paşa Mahallesi,150 m²,3+1,2.Kat,Kombi Doğalgaz,165 m²,21 Ve Üzeri,4,Boş
Ev-278,"980,000TL",Elazığ - Elazığ Merkez - Nail Bey Mahallesi,130 m²,3+1,2.Kat,Kombi Doğalgaz,140 m²,21 Ve Üzeri,5,Kiracı Oturuyor
Ev-279,"1,890,000TL",Elazığ - Elazığ Merkez - İcadiye Mahallesi,115 m²,2+1,6.Kat,Kombi Doğalgaz,130 m²,1,9,Boş
Ev-280,"1,850,000TL",Elazığ - Elazığ Merkez - Mustafa Paşa Mahallesi,135 m²,3+1,1.Kat,Merkezi (Pay Ölçer),145 m²,4,5,Kiracı Oturuyor
Ev-281,"2,320,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,170 m²,3+1,2.Kat,Kombi Doğalgaz,185 m²,11-15,5,Mülk Sahibi Oturuyor
Ev-282,"1,670,000TL",Elazığ - Elazığ Merkez - Mustafa Paşa Mahallesi,145 m²,3+1,4.Kat,Kombi Doğalgaz,165 m²,16-20,4,Boş
Ev-283,"3,100,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,120 m²,3+1,3.Kat,Kombi Doğalgaz,145 m²,0 (Yeni),5,Boş
Ev-284,"3,100,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,160 m²,3+1,11.Kat,Kombi Doğalgaz,180 m²,4,11,Mülk Sahibi Oturuyor
Ev-285,"1,745,000TL",Elazığ - Elazığ Merkez - Ulu Kent Mahallesi,131 m²,3+1,1.Kat,Kombi Doğalgaz,145 m²,5-10,4,Mülk Sahibi Oturuyor
Ev-286,"1,399,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,60 m²,2+1,2.Kat,Merkezi (Pay Ölçer),65 m²,11-15,3,Mülk Sahibi Oturuyor
Ev-287,"1,275,000TL",Elazığ - Elazığ Merkez - Kültür Mahallesi,150 m²,3+1,5.Kat,Kombi Doğalgaz,170 m²,16-20,5,Boş
Ev-288,"4,100,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,180 m²,4+1,1.Kat,Kombi Doğalgaz,200 m²,0 (Yeni),9,Boş
Ev-289,"1,450,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,120 m²,3+1,6.Kat,Kombi Doğalgaz,140 m²,21 Ve Üzeri,7,Boş
Ev-290,"2,495,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,155 m²,4+1,4.Kat,Kombi Doğalgaz,170 m²,5-10,4,Kiracı Oturuyor
Ev-291,"2,200,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,170 m²,3+1,1.Kat,Kombi Doğalgaz,185 m²,5-10,7,Mülk Sahibi Oturuyor
Ev-292,"2,400,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,170 m²,3+1,5.Kat,Kombi Doğalgaz,185 m²,5-10,7,Mülk Sahibi Oturuyor
Ev-293,"1,850,000TL",Elazığ - Elazığ Merkez - Kırklar Mahallesi,100 m²,2+1,2.Kat,Kombi Doğalgaz,120 m²,5-10,3,Mülk Sahibi Oturuyor
Ev-294,"1,290,000TL",Elazığ - Elazığ Merkez - İzzet Paşa Mahallesi,145 m²,3+1,3.Kat,Kombi Doğalgaz,165 m²,21 Ve Üzeri,5,Boş
Ev-295,"3,680,000TL",Elazığ - Elazığ Merkez - Yeni Mahallesi,230 m²,5+1,7.Kat,Kombi Doğalgaz,250 m²,0 (Yeni),8,Boş
Ev-296,"2,150,000TL",Elazığ - Elazığ Merkez - Cumhuriyet Mahallesi,135 m²,3+1,6.Kat,Merkezi (Pay Ölçer),155 m²,5-10,9,Boş
Ev-297,"2,150,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,180 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,200 m²,11-15,5,Kiracı Oturuyor
Ev-298,"2,700,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,120 m²,2+1,4.Kat,Kombi Doğalgaz,130 m²,0 (Yeni),4,Boş
Ev-299,"2,850,000TL",Elazığ - Elazığ Merkez - Fevzi Çakmak Mahallesi,145 m²,3+1,8.Kat,Kombi Doğalgaz,155 m²,5-10,8,Boş
Ev-300,"2,630,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,98 m²,2+1,2.Kat,Kombi Doğalgaz,112 m²,0 (Yeni),6,Boş
Ev-301,"1,350,000TLarrow_downward%7",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,80 m²,2+1,3.Kat,Kombi Doğalgaz,85 m²,11-15,4,Kiracı Oturuyor
Ev-302,"3,190,000TL",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,220 m²,4+1,3.Kat,Kombi Doğalgaz,230 m²,5-10,5,Mülk Sahibi Oturuyor
Ev-303,"1,715,000TL",Elazığ - Elazığ Merkez - Mustafa Paşa Mahallesi,160 m²,3+1,1.Kat,Kombi Doğalgaz,175 m²,11-15,5,Mülk Sahibi Oturuyor
Ev-304,"4,500,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,195 m²,4+1,4.Kat,Kombi Doğalgaz,210 m²,0 (Yeni),8,Boş
Ev-305,"2,350,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,175 m²,3+1,1.Kat,Kombi Doğalgaz,195 m²,11-15,5,Boş
Ev-306,"2,200,000TL",Elazığ - Elazığ Merkez - Yazıkonak Bld. (Fatih Mahallesi),150 m²,3+1,3.Kat,Kombi Doğalgaz,170 m²,0 (Yeni),6,Boş
Ev-307,"785,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,110 m²,2+1,Bodrum Kat,Kombi Doğalgaz,130 m²,11-15,5,Boş
Ev-308,"1,095,000TL",Elazığ - Elazığ Merkez - İzzet Paşa Mahallesi,120 m²,3+1,1.Kat,Kombi Doğalgaz,140 m²,21 Ve Üzeri,5,Kiracı Oturuyor
Ev-309,"3,295,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,130 m²,3+1,3.Kat,Kombi Doğalgaz,145 m²,0 (Yeni),5,Boş
Ev-310,"1,500,000TL",Elazığ - Elazığ Merkez - Nail Bey Mahallesi,150 m²,3+1,2.Kat,Kombi Doğalgaz,170 m²,21 Ve Üzeri,4,Boş
Ev-311,"2,370,000TL",Elazığ - Elazığ Merkez - Abdullah Paşa Mahallesi,105 m²,2+1,2.Kat,Kombi Doğalgaz,115 m²,0 (Yeni),6,Boş
Ev-312,"1,875,000TLarrow_downward%4",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,110 m²,3+1,Yüksek Giriş,Merkezi Doğalgaz,124 m²,3,5,Mülk Sahibi Oturuyor
Ev-313,"1,350,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,65 m²,2+1,2.Kat,Kombi Doğalgaz,75 m²,5-10,4,Mülk Sahibi Oturuyor
Ev-314,"5,450,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,210 m²,4+1,8.Kat,Merkezi Doğalgaz,240 m²,0 (Yeni),15,Boş
Ev-315,"1,400,000TL",Elazığ - Elazığ Merkez - Ulu Kent Mahallesi,145 m²,3+1,Bodrum Kat,Kombi Doğalgaz,165 m²,5-10,5,Boş
Ev-316,"1,300,000TL",Elazığ - Elazığ Merkez - Ataşehir Mahallesi,150 m²,3+1,Bodrum Kat,Kombi Doğalgaz,160 m²,11-15,4,Mülk Sahibi Oturuyor
Ev-317,"2,850,000TL",Elazığ - Elazığ Merkez - Doğu Kent Mahallesi,145 m²,3+1,1.Kat,Kombi Doğalgaz,165 m²,0 (Yeni),7,Boş
Ev-318,"1,300,000TL",Elazığ - Elazığ Merkez - Çaydaçıra Mahallesi,60 m²,2+1,Yüksek Giriş,Kombi Doğalgaz,70 m²,5-10,4,Boş
Ev-319,"2,000,000TL",Elazığ - Elazığ Merkez - Kültür Mahallesi,175 m²,3+1,2.Kat,Kombi Doğalgaz,195 m²,16-20,5,Boş
Ev-320,"1,810,000TLarrow_downward%2",Elazığ - Elazığ Merkez - Kırklar Mahallesi,110 m²,2+1,2.Kat,Merkezi Doğalgaz,130 m²,5-10,4,Mülk Sahibi Oturuyor
Ev-321,"1,550,000TL",Elazığ - Elazığ Merkez - İzzet Paşa Mahallesi,145 m²,3+1,Yüksek Giriş,Kombi Doğalgaz,165 m²,21 Ve Üzeri,3,Boş
Ev-322,"2,850,000TL",Elazığ - Elazığ Merkez - Güneykent Mahallesi,140 m²,3+1,1.Kat,Kombi Doğalgaz,160 m²,0 (Yeni),4,Boş
Ev-323,"2,650,000TLarrow_downward%2",Elazığ - Elazığ Merkez - Sürsürü Mahallesi,200 m²,4+1,4.Kat,Merkezi Doğalgaz,220 m²,16-20,8,Kiracı Oturuyor
